Main Codes List

98:

Moai Statue
aaa2Bs%%%%%%%%	74
%%%%%%%%%%%%%%	98
 
Snowman TV
A&LWW@%%%%%%%%	86
%%%%%%%%%%%%%%	98
 
Leopard Print	
wa22W%%%%%%%%%	85
%%%%%%%%%%%%%%	98
 
Treasure Chest	
CC%&%%%%%%%%%%	89
%%%%%%%%%%%%%K	94

84:

Super Mushroom	
uumC&@@@@@@@@@	73	
@@@@@@@@@@@@@@	84

K.K. Swing	
w2334TMMMMMMMM	72	
MMMMMMMMMMMMMM	84

Harvest Bed	
SSXXWWWWWWWWWW	72	
WWWWWWWWWWWWWE	81

Lantern	
bsuLWWWWWWWWWW	71	
WWWWWWWWWWWWWc	81

Cabin Dresser	
2BBdCWWWWWWWWW	71	
WWWWWWWWWWWWWW	84

Lovely Stereo	
23ddd@WWWWWWWW	71	
WWWWWWWWWWWWWW	84

Chowder	
BbDCR@@@@@@@@@	71	
@@@@@@@@@@@@@@	84

Basement Floor	
AZTUcWWWWWWWWW	71	
WWWWWWWWWWWWWW	84

Ranch Dresser	
qKKAlMMMMMMMMM	70	
MMMMMMMMMMMMMM	84

Classic Wardrobe	
qbBcEMMMMMMMMM	70	
MMMMMMMMMMMMMM	84

Lovely Armoire	
qSdmfMMMMMMMMM	70	
MMMMMMMMMMMMMM	84

Green Wardrobe	
BLddBWWWWWWWWW	69	
WWWWWWWWWWWWWW	84

White Queen	
LDllA%WWWWWWWW	69	
WWWWWWWWWWWWWW	84

Kiddie Clock	
wLBB4nWWWWWWWW	69	
WWWWWWWWWWWWWW	84

K.K. Lullaby
SbbDDnWWWWWWWW	68	
WWWWWWWWWWWWWW	84

Mr. K.K.	
CbbDEnWWWWWWWW	68	
WWWWWWWWWWWWWW	84

Fortune Paper (4)	
KKKLSdWWWWWWWW	66	
WWWWWWWWWWWWWW	84

K.K. Waltz	
SbbeDdWWWWWWWW	66	
WWWWWWWWWWWWWW	84

Ranch Chair	
lmdBBsMMMMMMMM	65	
MMMMMMMMMMMMMM	84

K.K. Western	
SbbeLdWWWWWWWW	65	
WWWWWWWWWWWWWW	84

Cement Mixer	
CwaKmmmmmmmmmm	65	
MMMMMMMMMMMMMM	84

K.K. Rock	
WrttEYWWWWWWWW	64	
WWWWWWWWWWWWWW	84

K.K. Love Song	
QAsdnnssssssss	37	
WWWWWWWWWWWWWW	84

Snow Shirt	
KUXXSKssssssss	35	
WWWWWWWWWWWWWW	84

Giraffe Print	
tUXXSsssssssss	32	
WWWWWWWWWWWWWW	84

70:

Black Knight	
QsA%%%wwwwwwww	73	
wwwwwwwwwwwwww	70

Aerobics Radio	
QSWw@@wwwwwwww	71	
wwwwwwwwwwwwww	70

Harvest Wall	
QdVD%%AAAAAAAA	70	
AAAAAAAAAAAAAA	70

Fishing Bear
abWWWEwwwwwwww	67	
wwwwwwwwwwwwww	70

Lovely Phone	
qQQQ&Ewwwwwwww	66	
wwwwwwwwwwwwww	70

Snowman Lamp	
QSWCCEwwwwwwww	65	
wwwwwwwwwwwwww	70

Citrus Shirt	
2SXc@@wwwwwwww	65	
wwwwwwwwwwwwww	70

Swell Shirt	
sDNF@@wwwwwwww	65	
wwwwwwwwwwwwww	70

Black King	
2bbLwwwwwwwwww	63	
wwwwwwwwwwwwwW	71

Tokyo Tower	
Abaw2Ewwwwwwww	63	
wwwwwwwwwwwwww	70

Harvest Bureau	
XLaweMMmmmmmmm	63	
mmmmmmmmmmmmmm	70

Shogi Piece	
qwSVDEwwwwwwww	63	
wwwwwwwwwwwwww	70

Snowboard	
QwEBeAAAAAAAAA	63	
AAAAAAAAAAAAAA	70

Flagpole	
AOXOLEmmmmmmmm	62	
mmmmmmmmmmmmmm	70

Snowman Clock	
QKXCCEwwwwwwww	62	
wwwwwwwwwwwwww	70

Chessboard Rug	
2LdDnAAAAAAAAA	62	
AAAAAAAAAAAAAA	70

NES	
ccRewwwwwwwwww	61	
wwwwwwwwwwwwwW	71

Ladybug Shirt	
aSWBEEwwwwwwww	61	
wwwwwwwwwwwwww	70

Cooler	
aLaLeMMmmmmmmm	61	
mmmmmmmmmmmmmm	70

K.K. Mambo	
qBcMXsmmmmmmmm	61	
mmmmmmmmmmmmmm	70

K.K. Casbah	
qEnOGTmmmmmmmm	61	
mmmmmmmmmmmmmm	70

The K. Funk	
BCdEGTmmmmmmmm	60	
mmmmmmmmmmmmmm	70

K.K. Soul	
nnOOGsmmmmmmmm	60	
mmmmmmmmmmmmmm	70

Concrete Floor	
24tooAAAAAAAAA	60	
AAAAAAAAAAAAAA	70

Blue Tarp	
Q@rmlaaAAAAAAA	60	
AAAAAAAAAAAAAA	70

Blue Aloha Shirt	
bSSLDEwwwwwwww	59	
wwwwwwwwwwwwww	70

Backpack	
bLVVEiwwwwwwww	58	
wwwwwwwwwwwwww	70

Harvest Dresser	
sOffDEmmmmmmmm	55	
